"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
155,0.026184464857491,45081.1086895093,77405.5717498541,1.20963655471687,1.41604498254237,32324.4630603448,0.206408427825503,156604.376094913,-23036.0838081971
156,0.0265930979571612,37642.7698773417,65002.4845095016,1.20807075253601,1.33188946407087,27359.7146321599,0.123818711534865,220965.912930341,-21787.872613091
157,0.0264479547905816,39817.7856298096,69399.4335124189,1.0858075020647,1.2293690703819,29581.6478826093,0.143561568317202,206055.480093726,-23121.3773083352
158,0.0254110018085905,40447.1902583179,64517.3647810291,1.03301715096641,1.19713414027254,24070.1745227113,0.164116989306131,146664.733642004,-16684.9100039354
159,0.0265528333812123,39345.3875636363,82512.1216870628,1.14527898170837,1.40865204115503,43166.7341234265,0.263373059446658,163899.581126934,-31314.9464483269
160,0.0269565353129243,36665.4048255241,71146.178887771,0.965358380161158,1.11032714503231,34480.774062247,0.144968764871153,237849.678121305,-27957.1796430451
161,0.0271478262067796,36963.1712188669,66923.3500827004,1.31116403327909,1.45416456507339,29960.1788638335,0.143000531794305,209510.961168514,-23525.1549330898
162,0.0258306246837869,40687.4592791457,67553.5627137275,1.03644455742309,1.20055262533065,26866.1034345818,0.164108067907562,163709.827171415,-19481.2403787415
163,0.0249141494099703,44938.2569994832,75848.6682174317,1.21172943852059,1.41796040818333,30910.4112179486,0.206230969662744,149882.489853475,-21630.0175831251
164,0.0285477171410062,37403.8345500181,59980.2388192158,1.13474459735072,1.29544738323122,22576.4042691977,0.160702785880495,140485.456711289,-15344.7789045755
165,0.0259893325021179,37621.3794127587,64922.1982965643,1.24561018339325,1.37105332396144,27300.8188838056,0.125443140568191,217635.007862107,-21655.877558237
166,0.0252223731324803,38522.5449169841,69549.2006223823,1.19281833886456,1.39097851108866,31026.6557053983,0.198160172224102,156573.621011542,-22109.4479553137
167,0.0261541236838162,38596.7081577511,65242.7365845849,1.29907777194094,1.51248224390536,26646.0284268338,0.213404471964419,124861.621603115,-17042.827188435
168,0.0262108917758928,37096.8734069424,62302.896770706,1.15699563083235,1.31627685973384,25206.0233637636,0.159281228901493,158248.549044986,-18038.3680631964
169,0.0282627198008359,36658.6231845438,62339.0004177822,1.21987460130702,1.40556773009785,25680.3772332384,0.18569312879083,138294.709128228,-17324.186437651
170,0.0266216100375368,40444.6911113611,71121.4447090626,1.20343664723546,1.43868860253408,30676.7535977015,0.235251955298615,130399.569086524,-20090.4156092639
171,0.0276502135472701,39277.2015340001,66331.7597588486,1.18251438386325,1.34903236958701,27054.5582248485,0.166517985723769,162472.288547427,-19561.2488672789
172,0.0257706051593604,36645.2075322838,73700.549088692,1.10201740385149,1.3062142632537,37055.3415564081,0.20419685940221,181468.714381251,-27866.4828833087
173,0.0268130436382933,38542.0320544915,68550.4107774395,1.0140844752595,1.2045173445145,30008.378722948,0.190432869254993,157579.827685977,-21438.8996064733
174,0.0260256640415174,42081.7997525963,72779.8102582117,1.10714602596635,1.31280464564262,30698.0105056154,0.205658619676269,149266.831382695,-21443.3726201833
175,0.026636064134291,41520.9985238584,68459.8864198787,1.13968815763912,1.30649612451589,26938.8878960202,0.166807966876769,161496.410515702,-19432.5293865656
176,0.0251765105964944,40903.6715185753,75426.5459986953,1.40363720476484,1.58136825738328,34522.87448012,0.177731052618435,194242.221443633,-26524.9771122904
177,0.0245120793172526,40281.8712860789,65257.394658926,1.22189656224988,1.36828845342892,24975.5233728471,0.14639189117904,170607.286863325,-18387.8882697903
178,0.0274033888437707,40153.9652330394,64401.0602475146,1.1205157133638,1.25235783872489,24247.0950144752,0.131842125361092,183910.073871054,-18314.1993732261
